facility_name,reg_no,facility_type,level,county,status
KERICHO FOREST DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KERICHO G.K MEDIUM PRISON DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KERICHO MAIN G.K PRISON DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KERICHO MEDICAL CLINIC,002xxx,MEDICAL CENTRE,LEVEL 3B,KERICHO,ACTIVE
KERICHO OUTPATIENT MEDICAL CENTRE,003xxx,MEDICAL CENTRE,LEVEL 3B,KERICHO,ACTIVE
KERICHO WOMENS CLINIC,007xxx,MEDICAL CLINIC,LEVEL 2,KERICHO,ACTIVE
KERIDAM DENTAL CLINIC LIMITED,017xxx,DENTAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KERIDAM MEDICAL CENTRE,003xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
KERINGET DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KERINGET HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,WEST POKOT,ACTIVE
KERINGET NURSING HOME LTD,014xxx,NURSING HOME,LEVEL 3A,NAKURU,ACTIVE
KERINGET SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NAKURU,ACTIVE
KERINGET ZION HOSPITAL,020xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
KERINKANI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
KERIO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,TURKANA,ACTIVE
KERIO HOSPITAL LIMITED,003xxx,MEDICAL CENTRE,LEVEL 3B,BARINGO,ACTIVE
KERIO HOSPITAL-MARIGAT BRANCH,019xxx,MEDICAL CENTRE,LEVEL 3B,BARINGO,ACTIVE
KERNAN LIFE HOSPITAL,019xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
KEROBO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
KEROCURE SPECIALIST MEDICAL CENTRE,020xxx,MEDICAL CLINIC,LEVEL 2,NYAMIRA,ACTIVE
KERONGORORI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KERONJO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KERUGOYA COUNTY REFERRAL HOSPITAL,GK-xxx,HOSPITAL LEVEL 5,LEVEL 5,KIRINYAGA,ACTIVE
KERUGOYA DENTAL CLINIC,006xxx,DENTAL CLINIC,LEVEL 2,KIRINYAGA,ACTIVE
KERUGOYA FORTIS MEDICAL AND CANCER CENTRE,007xxx,HOSPITAL LEVEL 4,LEVEL 4,KIRINYAGA,ACTIVE
KERUGOYA FORTIS MEDICAL AND CANCER CENTRE TOWN ANNEX,016xxx,MEDICAL CENTRE,LEVEL 3B,KIRINYAGA,ACTIVE
KERUGOYA MEDICAL CENTRE,000xxx,HOSPITAL LEVEL 5,LEVEL 5,KIRINYAGA,ACTIVE
KERUGOYA MEDICAL CENTRE LIMITED-KERUGOYA TOWN CLINIC,015xxx,MEDICAL CLINIC,LEVEL 2,KIRINYAGA,ACTIVE
KERUGOYA UZEMA MEDICAL AND OPTICAL SERVICES,019xxx,MEDICAL CLINIC,LEVEL 2,KIRINYAGA,ACTIVE
KERUMBE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
KERWA CATHOLIC HEALTH CENTRE,003xxx,HEALTH CENTRE,LEVEL 3A,KIAMBU,ACTIVE
KERWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
KESENGEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
KESOGON DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TRANS NZOIA,ACTIVE
KESOGON MEDICAL CLINIC,001xxx,MEDICAL CLINIC,LEVEL 2,NANDI,ACTIVE
KESOT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WEST POKOT,ACTIVE
KESSES CLINICAL SERVICES,021xxx,MEDICAL CLINIC,LEVEL 2,UASIN GISHU,ACTIVE
KESSES HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,UASIN GISHU,ACTIVE
KETARAIN MEDICAL CLINIC,024xxx,MEDICAL CLINIC,LEVEL 2,MACHAKOS,ACTIVE
KETIGOI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
KETITUI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KETURWO HEALTH CENTER,GK-xxx,HEALTH CENTRE,LEVEL 3A,BARINGO,ACTIVE
KEUMBU SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KISII,ACTIVE
KEVOTE CATHOLIC DISPENSARY,016xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KEVOTE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KEWA MOI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
KEWAPSOS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
KEYIAN SDA MEDICAL CENTRE,002xxx,DISPENSARY,LEVEL 2,NAROK,ACTIVE
KEYLIFE MEDICAL CENTER,020xxx,NURSING HOME,LEVEL 3A,MERU,ACTIVE
KEYO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
KEYSTONE DENTAL,019xxx,DENTAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
KFA SOLAI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
KHACHONGE COMMUNITY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,INACTIVE
KHADIJA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
KHADIJA CENTRE,001xxx,DISPENSARY,LEVEL 2,MOMBASA,ACTIVE
KHAIRAT MEDICAL CENTRE LIMITED,003xxx,HOSPITAL LEVEL 4,LEVEL 4,KILIFI,ACTIVE
KHAJULA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
KHALABA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KAKAMEGA,ACTIVE
KHALABA MEDICAL SERVICES,003xxx,HOSPITAL LEVEL 4,LEVEL 4,BUNGOMA,ACTIVE
KHALALA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
KHALALIO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MANDERA,ACTIVE
KHALALIO NURSING HOME LIMITED,015xxx,NURSING HOME,LEVEL 3A,MANDERA,ACTIVE
KHALICHA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MANDERA,ACTIVE
KHALUMULI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
KHALWENGE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TRANS NZOIA,ACTIVE
KHAMULATI MEDICAL SERVICES,014xxx,NURSING HOME,LEVEL 3A,BUNGOMA,ACTIVE
KHAOYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
KHARANDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
KHASHAMA MEDICAL CLINIC SHIKHAMBI,020xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
KHAUMA HEALTHCARE CENTRE,021xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KHAUNGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KAKAMEGA,ACTIVE
KHAUNGA MEDICAL CLINIC,017xxx,MEDICAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
KHAYEGA JOYFUL SMILES DENTISTRY,020xxx,DENTAL CLINIC,LEVEL 2,KAKAMEGA,ACTIVE
KHAYEGA MEDICAL CLINIC,003xxx,MEDICAL CENTRE,LEVEL 3B,KAKAMEGA,ACTIVE
KHAYO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUSIA,ACTIVE
KHEMS MEDICAL CLINIC,002xxx,MEDICAL CLINIC,LEVEL 2,NAKURU,ACTIVE
KHESED CHEN CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,MAKUENI,ACTIVE
KHEYBER MEDICAL CENTRE,003xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KHOROF HARAR NURSING HOME LIMITED,017xxx,MEDICAL CLINIC,LEVEL 2,WAJIR,ACTIVE
KHOROF-HARAR SUB COUNTY,GK-xxx,COMPREHENSIVE CENTRE,LEVEL 3A,WAJIR,ACTIVE
KHUNYANGU SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,BUSIA,ACTIVE
KHWISERO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KAKAMEGA,ACTIVE
KIABUGESI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KIABUSURA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KIAGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIAGUTHU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIAGWARE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KIAIBABU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIAMBU,ACTIVE
KIAIREGI MEDICAL CLINIC,005xxx,MEDICAL CLINIC,LEVEL 2,MURANG'A,ACTIVE
KIAIRUGU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
KIAMABARA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYERI,ACTIVE
KIAMAIKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAIROBI,ACTIVE
KIAMAKIMA COMMUNITY HOSPITAL LIMITED,017xxx,HOSPITAL LEVEL 4,LEVEL 4,THARAKA NITHI,ACTIVE
KIAMANYEKI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIAMANYOMBA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
KIAMARA HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIAMATHAGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIAMBERE DAM DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KIAMBERE HEALTH CENTER,GK-xxx,HEALTH CENTRE,LEVEL 3A,EMBU,ACTIVE
KIAMBERE MEDICAL HEALTHCARE LIMITED,017xxx,MEDICAL CENTRE,LEVEL 3B,EMBU,ACTIVE
KIAMBIRIRIE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
KIAMBOGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
KIAMBOGO DISPENSARY - NYERI,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIAMBOGO DISPENSARY-NAKURU,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
KIAMBU COUNTY REFERRAL HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KIAMBU,ACTIVE
KIAMBU DIAGNOSTIC IMAGING SERVICES LIMITED,006xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
KIAMBU MEDICAL CENTRE,001xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
KIAMBU SPECIALIST DOCTORS PLAZA LIMITED,016xxx,MEDICAL CENTRE,LEVEL 3B,KIAMBU,ACTIVE
KIAMBUTHIA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIAMERU MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KIAMKOMA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
KIAMUCHAIRU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,THARAKA NITHI,ACTIVE
KIAMUCII DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
KIAMURINGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KIAMURUGA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIAMURUKI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
KIAMURUKIMA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
KIAMUTHAMBI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIAMUTUGU SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KIRINYAGA,ACTIVE
KIAMUTURI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIAMUYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIAMWASI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KIAMWATHI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIAMWERI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIAN OPTICS AND EYE CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KIANDA 42 HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,NAIROBI,ACTIVE
KIANDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIANDAI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIANDANGAI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIANDERE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIANDIERI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIANDU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIANDUGUI HEALTHY YOU MEDICAL SERVICES,017xxx,MEDICAL CLINIC,LEVEL 2,MERU,ACTIVE
KIANDUTU DENTAL CLINIC,007xxx,DENTAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KIANDUTU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KIAMBU,ACTIVE
KIANG\'ONDU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,THARAKA NITHI,ACTIVE
KIANGAGE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIANGAI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KIRINYAGA,ACTIVE
KIANGANDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIANGINDA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
KIANGINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KIANGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISII,ACTIVE
KIANGOCHI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIANGOMBE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KIRINYAGA,ACTIVE
KIANGOSO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NYAMIRA,ACTIVE
KIANGUA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIANGUNGI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,EMBU,ACTIVE
KIANGUNYI MISSION DISPENSARY,003xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIANGWE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,LAMU,ACTIVE
KIANJEGE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KIRINYAGA,ACTIVE
KIANJIRU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KIRINYAGA,ACTIVE
KIANJOGU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
KIANJOGU DISPENSARY-NYERI,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIANJOKOMA MUUNGANO COMMUNITY COTTAGE HOSPITAL,016xxx,MEDICAL CENTRE,LEVEL 3B,EMBU,ACTIVE
KIANJOKOMA PURE MEDICARE HOSPITAL,005xxx,MEDICAL CENTRE,LEVEL 3B,EMBU,ACTIVE
KIANJOKOMA SUB-COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,EMBU,ACTIVE
KIANJOYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
KIANJUGU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIANJURI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIANUNGU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYAMIRA,ACTIVE
KIANYAGA CATHOLIC HEALTH CENTRE,003xxx,HEALTH CENTRE,LEVEL 3A,KIRINYAGA,ACTIVE
KIANYAGA SUB-COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,KIRINYAGA,ACTIVE
KIAONI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KIARAGANA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KIRINYAGA,ACTIVE
KIARAGO HEALTH CENTRE,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIARATHE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIARENE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIARITHAINI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIARUKUNGU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIARUTA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KISII,ACTIVE
KIARUTARA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIASA COMMUNITY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,HOMA BAY,ACTIVE
KIASWA INITIATIVE CLINIC,018xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,INACTIVE
KIATIINENI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MACHAKOS,ACTIVE
KIAUMBUI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIAWAKARA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIAWAMBOGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIBABII UNIVERSITY HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,BUNGOMA,ACTIVE
KIBAGENGE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
KIBAGENGE DISPENSARY BARINGO,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KIBANDAONGO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
KIBAOKICHE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KILIFI,ACTIVE
KIBAONI BARAKAH MEDICAL CENTRE,015xxx,MEDICAL CLINIC,LEVEL 2,KWALE,ACTIVE
KIBARANYAKI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIBARTARE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SAMBURU,ACTIVE
KIBENDO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,ELGEYO/ MARAKWET,ACTIVE
KIBERA COMMUNITY HEALTH CENTRE-AMREF,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
KIBERA DO HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
KIBERA HEALTH CENTRE - AMREF,000xxx,MEDICAL CENTRE,LEVEL 3B,NAIROBI,ACTIVE
KIBERA HUMAN DEVELOPMENT PROJECT MEDICAL CLINIC,000xxx,MEDICAL CLINIC,LEVEL 2,NAIROBI,ACTIVE
KIBERA SOUTH HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NAIROBI,ACTIVE
KIBIAS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KIBIGORI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
KIBIGOS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,ELGEYO/ MARAKWET,ACTIVE
KIBILAY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,WAJIR,ACTIVE
KIBINGEI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
KIBINGOR DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KIBIRICHIA SUB-COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,MERU,ACTIVE
KIBIRIGWI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,KIRINYAGA,ACTIVE
KIBIRIOKWONIN DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KIBIRU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIBISEM DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
KIBISH GSU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KIBISI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BUNGOMA,ACTIVE
KIBOGO DISPESARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
KIBOINO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KIBOKO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MAKUENI,ACTIVE
KIBONGWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
KIBONZE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NANDI,ACTIVE
KIBORE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MERU,ACTIVE
KIBORMOS DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TRANS NZOIA,ACTIVE
KIBOROWO DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NAKURU,ACTIVE
KIBOS SUGAR RESEARCH DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KISUMU,ACTIVE
KIBOSON DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BOMET,ACTIVE
KIBOTANY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,BARINGO,ACTIVE
KIBOTANY MEDICAL CENTRE,014xxx,MEDICAL CLINIC,LEVEL 2,NAROK,ACTIVE
KIBUGAT DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KERICHO,ACTIVE
KIBUGI FUNERAL HOME,000xxx,FUNERAL HOME (STAND ALONE),LEVEL 2,KIRINYAGA,ACTIVE
KIBUGU HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,EMBU,ACTIVE
KIBUGUA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,THARAKA NITHI,ACTIVE
KIBUKE HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,BUNGOMA,ACTIVE
KIBULGENY DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,UASIN GISHU,ACTIVE
KIBUMBU CFW CLINIC,003xxx,MEDICAL CLINIC,LEVEL 2,THARAKA NITHI,ACTIVE
KIBUNG\'A SUB-COUNTY HOSPITAL,GK-xxx,HEALTH CENTRE,LEVEL 3A,THARAKA NITHI,ACTIVE
KIBURINE HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MERU,ACTIVE
KIBURU DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KIRINYAGA,ACTIVE
KIBURU MEDICAL CENTRE,018xxx,MEDICAL CLINIC,LEVEL 2,KIRINYAGA,ACTIVE
KIBURUTI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYANDARUA,ACTIVE
KIBUTE MEDICAL CLINIC,020xxx,MEDICAL CLINIC,LEVEL 2,KIAMBU,ACTIVE
KIBUTHA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,MURANG'A,ACTIVE
KIBUYE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,SIAYA,ACTIVE
KIBUYUNI DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
KIBWARENG HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,NANDI,ACTIVE
KIBWEZI CATHOLIC HEALTH CENTRE,002xxx,BASIC HEALTH CENTRE,LEVEL 3B,MAKUENI,ACTIVE
KIBWEZI SUB COUNTY HOSPITAL,GK-xxx,HOSPITAL LEVEL 4,LEVEL 4,MAKUENI,ACTIVE
KICHAKA SIMBA DISPENSARY,004xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
KICHAWA HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,HOMA BAY,ACTIVE
KIDAO FAMILY CLINIC,016xxx,MEDICAL CENTRE,LEVEL 3B,VIHIGA,ACTIVE
KIDEWA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,TURKANA,ACTIVE
KIDIAN DIPSENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
KIDINYE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,VIHIGA,ACTIVE
KIDNEY AID DIALYSIS CENTER LIMITED,016xxx,NURSING HOME,LEVEL 3A,NAIROBI,ACTIVE
KIDNEY SOLUTIONS CLINIC,014xxx,HOSPITAL LEVEL 4,LEVEL 4,NAKURU,ACTIVE
KIDOMAYA DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,KWALE,ACTIVE
KIDS ALIVE DISPENSARY,GK-xxx,DISPENSARY,LEVEL 2,NYERI,ACTIVE
KIEGOI HEALTH CENTRE,GK-xxx,HEALTH CENTRE,LEVEL 3A,MERU,ACTIVE
KIEMBE HEALTH CENTRE,GK-xxx,BASIC HEALTH CENTRE,LEVEL 3B,HOMA BAY,ACTIVE
