Provider,03-Dec,05-Dec,11-Dec,18-Dec,23-Dec,09-Jan,30-Jan,03-Feb
The Kitui Marternity and Nursing Home,"213,800",151320,675680,823520,97440,1081120,32480,616560
THE MANDERA HOSPITAL LIMITED,,,,,3386960,2229920,,1307040
THE MATER HOSPITAL,20000,5751770,6467128,3354100,1623020,4797359,1329929,6387470
The Matuu Hospital,"147,200",,760718,697600,103920,911120,,875360
THE NAIROBI FAMILY & MATERNITY HOSPITAL (NYAMIRA),,,,30000,,165760,,153200
The Pine Hospital,3315090,1775200,1576330,1007110,272850,2155480,527300,1479220
The Retreat Rehabilitation Ngong Annex,,,,,60000,2957570,,396000
THE RHAMU HOSPITAL IMAGING AND DIAGNOSTIC CENTRE,"1,165,920",211680,1223040,786240,235200,3222240,,1145760
The River Jordan Medical Centre,,,455170,184160,147360,597760,,576400
THE RIVER JORDAN MEDICAL CENTRE MAUNGU,,,185400,,,,,
THE SAGANA COTTAGE HOSPITAL,,,790425,420520,4151490,1985200,,1367240
The Samari-Med Centre,"576,720",156830,869700,951140,436480,1403520,,1544160
The Veteran Mission Hospital,208850,,,,21300,6350950,,275000
The Webuye Hospital Limited,1602400,197200,3510720,3514880,957360,5873760,,5904880
The White Crescent Hospital,"10,000",40000,110000,169600,,106720,196720,100000
The white cresent Hospital,3135330,1760880,3983660,1735810,988190,2971429,3607269,4349249
The Wilkista Memorial Hospital,"13,440",,13440,,,26880,,27920
THIBA HEALTH CENTRE,,,110000,,,90000,,
Thika Dialysis Centre Limited,"457,950",149100,1001100,362100,127800,511200,479250,681600
THIKA LEVEL 5 HOSPITAL,,3996558,8002140,7466590,4575860,7951350,,11562040
Thika Nursing Home,,,68240,135440,32400,131680,,244720
Thika Nursing Hospital,,,148800,546440,69200,304080,,365040
THIKA SAM'S NURSING HOME,,,,11200,210000,254640,10000,61360
THIKA SAM'S NURSING HOME LIMITED,,,153000,,,,,
TIBUPOA MEDICAL CENTRE,,,,,11200,26880,,174720
TIGOI HEALTH CENTRE,,,,50000,10000,20000,,60000
Tigoni Sub County Hospital,"1,921,680",241520,2615939,1031440,789920,1500960,662560,532160
Timau Sub-District Hospital,,,,20000,10000,,10000,20000
Timeline Health Care Limited,,,194880,1609360,226240,1794240,,1439440
Times Cottage Hospital Limited,"118,720",20440,248640,692460,710080,992320,,788480
Tinga Health Centre,,33600,93920,278800,83920,403040,1040,22400
Tingare Health Centre,,,10000,30000,,40000,,50000
TING'WANGI HEALTH CENTRE,"20,000",,40000,20000,,70000,30000,100000
Tionycare Hospital,"376,080",43680,689840,325120,469680,586400,231040,1173440
Tiwi Kwa Sammy Medical Centre Limited,,,,,22400,,,
TOM MBOYA LEVEL 4 HOSPITAL,,,,,2089920,5806000,,1158880
Tombe Health Centre (Manga),,,10000,10000,10000,10000,,20000
TONGAREN HEALTH CENTRE,,350,20000,30000,,60000,,40000
TONYMED MEDICAL CLINIC,,,150000,138000,,150000,,190000
Topcare Medical Center Subukia,"19,460",500,42560,62720,33600,53760,8960,134240
Topcare Nursing Home,"471,794",20046,303062,332640,83600,451920,,318650
TOPHILL HOSPITAL ELDORET,,,,,4457600,3862320,,529200
Toric's Nursing Home,"184,800",25680,1169200,1323840,336000,1605840,,2372160
Torongo Health Centre,110000,,30000,50000,30000,40000,30000,70000
TOROSEI DISPENSARY,,,10000,10000,10000,,20000,10000
Tot Sub County Hospital,"50,160",,289040,354640,52560,593120,41040,537680
TOWFIQ MEDICARE,"188,160",,197120,358400,95120,515040,,535360
Township Cottage,"10,080",,457040,623280,50400,1380720,,2318720
Trans Marigold Hospital,8083290,3067600,1725140,1037840,,2256960,,290400
Transmara Community Hospital,"82,880",40690,193680,382880,248640,466800,,733520
Transmara West Sub County Hospital,"432,160",282060,809520,611360,65200,1077200,,1120960
True Health Medical Centre,"224,000",,1321600,604800,,828800,33600,168000
TSANGATSINI DISPENSARY,,,10000,50000,,70000,20000,90000
Tsavo Comprehensive Annex Medical Clinic,"1,911,360",20160,1278960,1370320,305280,727120,,750960
Tseikuru Sub County Hospital,"136,320",26880,326160,165440,168720,372480,30880,537760
Tudor District Hospital (Mombasa),,,330000,153360,50000,296800,43280,323520
Tudor Health Care (Mtwapa),,,,,82880,98560,,29120
TUDOR HEALTH CARE LTD,,,,,306880,1393120,,561920
Tudor Healthcare Mariakani,,,100800,136640,161280,351680,,522800
Tuikut Dispensary,"20,000",,30000,,,,10000,81360
Tulah Medical Services,"11,200",39065,34400,96160,8960,506960,,447520
TulaTula Nursing Home,,,247440,491600,116480,946320,,538640
TULIMANI HEALTH CENTRE,,,30000,30000,,40000,,70000
Tumaini Medical Clinic (Turkana Central),,,33600,43600,,63840,20160,141120
Tumaini Medicare,,,,,100640,352560,,134590
TUNASH MEDICAL CENTRE,,,,60480,752640,842240,,901520
TURKLAND MEDICAL CARE LIMITED,"62,720",,,85120,49280,,15680,
Tuuru Catholic Health Centre,"11,200",,244880,304320,103040,644000,,752880
UASIN GISHU DISTRICT HOSPITAL LTD,,317700,349000,318200,68000,71000,224000,135000
UCHUMI MEDICAL CENTRE LIMITED,,,45625,82880,26880,139920,,91840
UFALME MEDICAL CENTRE,,,225,,,,,
Ugina Health Centre,,,69440,95120,134400,230720,,331200
Ukwala Sub County Hospital,"116,880",59360,540060,244160,218740,458640,51560,525600
ULTRA KATHIANI HOSPITAL LIMITED,,,151425,,,,,
UMOJA HEALTH CENTRE,,,21150,,,,,
Umoja Hospital,13440,23660,343800,16800,16800,90720,10080,94080
Umoja III Medical Centre(Njiru),,,4480,,,,10000,
UMOJA MODERN MEDICAL CENTRE,,,36225,,,,,
UMOJA THREE MEDICAL CENTRE,,,501525,,,,,
UNAM MEDICAL CENTRE LIMITED,,,1575,,,,,
UNGOE COMMUNITY MEDICAL AND DENTAL CLINIC,,,6525,185920,172480,150080,,295680
Unison Medical Clinic,"13,440",,98160,157840,94960,285760,,539680
UNITY MATERNITY AND NURSING HOME-UMOJA,,,94725,,,,,
Universal Family Health Services( Machakos),"1,799,740",557080,2083930,677150,391030,1168560,1413350,1242750
UNIVERSITY OF NAIROBI HEALTH SERVICES,,,375075,,,,,
UPPER SOLAI HEALTH CENTRE,,,10000,70000,,100000,30000,70000
Uradi Health Centre,"368,740",394560,561600,347040,130960,674800,,1060480
URENGA HEALTH CENTRE,,,1800,,,,,
URIRI SUB COUNTY HOSPITAL,,,83360,20000,,187520,,449760
URUKU DISPENSARY,,,225,,,,,
Usao Health Centre,,,,10000,20000,10000,10000,20000
USHIRIKA DISPENSARY,,,6075,,,,,
USIGU HEALTH CENTRE,,,5175,80000,70000,180000,,280000
USOMA DISPENSARY,,,1575,,,,,
USUNGU DISPENSARY,,,,10000,,,,
UTANGE MEDICAL CENTRE,,,458775,,,,,20000
UTANGWA DISPENSARY,,,,,30000,,,
UTHIRU HEALTH CENTRE,,,31050,,,,,
UTHIRU MUTHUA DISPENSARY,,,,,40000,120000,,130000
UTHIRU MUTHUA HEALTH CENTRE,,,18450,,,,,
Utra Kathiani Hospital,"94,000",,399760,734880,272160,1212240,,1185280
Utuneni Dispensary,,,10000,,,,,
UTWIINI DISPENSARY,,,10000,,,20000,,10000
UWEZO HEALTHCARE LIMITED,,,143775,,,,,
Uyawi Sub County Hospital,10000,,210000,140000,71600,123440,56560,476960
Uzima Uhai Health Centre,"24,640",20160,362880,266800,177680,694480,,659040
Uzuri Afya Medical Centre,201600,,174720,62720,31360,510720,,458000
Valley Hospital Limited,"258,720",104160,688800,309120,57120,685440,,456720
VANGA HEALTH CENTRE,,,10000,10000,,20000,,
VANTAGE MEDICAL CENTRE,,,27450,,,,,
Vebeneza Medical Clinic,,,,,171180,1458080,,667520
Velma Memorial Medical Centre,"234,400",45600,328160,366240,107520,692160,,833280
VENOMA MEDICAL AND REPRODUCTIVE HEALTH SERVICES CLINIC,,,3150,,,,,
Venoma Medical Clinic,,,8960,,,,16720,26880
VENUS APOLLO MEDICAL CENTRE LTD,,,12375,,,,,
Verna Health Centre,"100,800",,410760,541760,257440,843120,,1041440
VERTICAL LIFE CARE,,,300825,,,,,
Vesi Githabai Nursing Home Limited,,,20160,,,,21200,89600
VICHABEM NURSING HOME,,,1575,,,,,
VICTORY MEDICAL CENTRE,,,69525,,,,,
VIENNA MEDICAL SERVICE,,,,1211840,280000,808640,,589120
Vigurungani Dispensary,,,50000,50000,10000,10000,10000,10000
Vihiga County Referral Hospital,"124,320",80640,2926301,1894490,477240,2696370,,3892545
Vihiga Health Centre,"40,000",10000,78960,122240,60000,150000,,220000
VIKAM HOSPITAL MASENO LTD,,,,50400,129240,154560,,252000
Village of Hope,"60,000",,180400,53360,53600,388040,,364320
Vineyard Hospital,"2,084,080",656160,2343120,1486640,502320,2620400,299920,2560720
VIPINGO HEALTH CENTRE,,,15975,40000,10000,20000,,80000
VIRGINIA WRIGHT DISPENSARY,,,33525,,,,,
Virhembe Nursing Home,67200,8770,158880,218320,78240,370480,,432880
VISHAKANI DISPENSARY,,,10000,60000,10000,100000,,50000
VitalRay Health Solutions Limited,"11,000",,,,,,,
Vitalray Health Solutions LTD,,,,,118295,388705,,336900
VITENGENI HEALTH CENTRE,,,9225,,,,,
VIWA HEALTH CARE SERVICES LIMITED,,,55800,,,,,
Viwa healthcare services,,,38600,181960,80640,44120,,146880
VOI MEDICAL CENTRE,,,384075,,,,,
Volunteer Nursing Home ;Limited,,,222600,915180,124320,1764000,10080,782880
VOSTRUM KENYA LIMITED TOI CLINIC,,,95850,,,,,
Waa Dispensary,"10,000",,20000,,,,,
WAAMO COMMUNITY HOSPITAL LIMITED,,,9000,,,,,
WABERI HOSPITAL LTD,,,83925,,,,,
Wagai Health Centre,,,70000,10000,20000,30000,20000,60000
WAGALLA HEALTH CENTRE,,,,,122560,174800,,
WAGBERI DISPENSARY,,,,40000,30000,10000,,90000
WAGWE HEALTH CENTRE,,,5625,,,,,
Waithaka Health Centre,,,220000,80000,100000,130000,80000,240000
Wajir Central Nursing Home,"491,680",69100,792960,917280,238560,1488480,,1599360
WAJIR COUNTY REFERAL HOSPITAL,,,,,6197750,1157420,,1513790
Wajir Fokas Nursing Home,"591,360",159950,322560,1044960,409920,2704800,,967680
WAJIR MATERNITY AND NURSING HOME,"127,680",,487200,759360,255360,1162560,,1286880
WAJIR MEDICAL CENTRE LTD,,,,1283520,98560,808640,,394240
Wajir West Roadside Medical Centre & Laboratory,,,85120,1669160,201600,1317120,,1538880
WAJIR-BOR HEALTH CENTRE,,,40000,30000,10000,80000,,30000
Wajirbor Medical Centre,,,43200,1353578,179200,1142400,,1012480
WAKOR DISPENSARY,,,14850,,,,,
Wama Nursing Home,"371,600",83520,440080,203360,43440,170080,80240,413600
Wanainchi Jamii Materinty and Nursing Home,"30,000",138760,144880,465680,149600,575600,20080,520000
Wananchi Medical Centre,"56,000",11200,161280,432320,64960,696640,,900480
Wananchi Nursing Home,"26,880",,353600,120720,36800,187680,131200,448640
WANDA MEDICAL CENTRE,,,152100,,,,,
WANGANGA HEALTH CENTRE,,,1125,,,,,
Wangige Sub County Hospital,"566,000",,1408060,981660,247520,860160,290160,1978080
WANG'NYANG' DISPENSARY,,,,100000,30000,40000,,100000
Wanjohi Health Centre,"13,140",10000,60000,10000,10000,60000,,150000
WANKAM MEDICAL CENTRE,,,55125,,,,,
WANZUA DISPENSARY,,,225,,,,,
WAQILA NURSING HOME LIMITED,,,,,1448080,638400,,1039360
Warankara Health Centre,,,,54480,10000,130480,,271200
Wargadud Health Centre,,400,130000,20000,10000,273440,,312880
WARGADUD MEDICAL CENTRE,,,,1435050,160080,1206320,,888640
Warsamee Nursing Home Limited,,,,819840,56000,385120,,539200
WASINI DISPENSARY,,,900,,,,,
WASIO DISPENSARY,,,10000,,,,,
WATAMU COMMUNITY HEALTH CARE LIMITED,,,142650,,,,,
Watamu Maternity and Nursing Home,"2,240",,10000,,,10000,10000,
WATAMU NURSING HOME,,2240,96300,,,18960,,
WAYAM NURSING HOME,,,142875,33600,151200,241920,,325840
WAYSIDE MEDICAL CLINIC,,,822825,,,,,
Webuye Health Centre,"10,000",,30000,32240,,10000,4480,10000
Webuye Hospital,967259,705372,3567732,2504800,1796960,3726720,341959,2931840
WELLS PARK MEDICAL AND DIAGNOSTIC LIMITED,,,,,35840,60480,,29120
WEMA CATHOLIC HEALTH CENTRE,,,,2308960,466960,2048400,,1021280
Wema Medkin Medical Center,"159,040",31360,212800,235200,114240,302400,94080,358400
Wema Unity Health Care,"30,000",,30000,30000,30000,50000,,50000
Wenisa Medical Center,"13,440",,73920,44800,24640,87360,,15680
WENJE DISPENSARY,,,225,,,,,
WERU HEALTH CENTRE,,,675,,,10000,,
Werugha Health Centre,,,10000,10000,10000,,20000,20000
WESLEY MISSION CLINIC LANET,,,386775,20000,,,10000,8960
WESPRAM MEDICAL CENTRE,,,30375,,,,,
WEST HILL COMMUNITY HOSPITAL LTD,,,,28000,18800,121200,,170240
West Inland Hospital Limited,,,53760,49280,29120,24640,6720,69440
WEST KENYA DIAGNOSTIC AND IMAGING CENTRE,,,225,,,,,
West side cottage,,,97040,236800,35680,248000,,193360
WESTHILL EYE CENTRE,,,450,,,,,
Westlands Hospital,10000,,100000,90000,40000,160000,20000,90000
WESTLANDS LASER EYE HOSPITAL LIMITED,,,,255400,1247600,,1369440,
WESTLANDS MEDICAL CENTRE,,,832950,,,,,
WESTLINK NURSING HOME,,,,414400,76160,324800,,185920
Wesu District Hospital,"88,040",37200,594960,425680,278560,434480,,238320
WHITEFLUTE VIHIGA PRIVATE GENERAL & MATERNITY,,,23175,,,,,
WHITEHEALTH MEDICAL CENTRE,,,22500,,,,,
Whiterose Medical Centre,"634,170",123620,1233420,1192800,789600,2349490,,3505830
Whiterose Medical centre Gategi satellite,"129,920",44090,123200,271040,82880,452480,,495040
Witu Health Centre,"23,440",,184560,228480,140880,371920,,498880
Women Initiative Health Services,"8,960",4480,40320,,8960,,,26880
Woodlands Hospital,"10,080",,20160,110880,16800,127680,,73920
WUNDANYI SUB-DISTRICT HOSPITAL,"10,000",,10000,,20000,,,30000
Yabicho Health Centre,,,62560,133600,18960,111200,,207680
YAGO COMMUNITY DISPENSARY,,,,10000,,,,
Yala Sub County Hospital,,,682000,908080,113600,654640,314320,943120
YATTA HEALTH CENTRE,,,675,,10000,40000,,50000
Your Family clinics-Silibwet,,,,,216080,907810,,251920
Yunasi Medical Centre,"60,480",51520,163520,109760,154560,412160,,456960
YWALATEKE DISPENSARY,,,39825,10000,,10000,,20000
ZAHIR HEALTH CARE,,,2056050,,,,,
Zamzam Nursing Home RHamu,"199,360",42720,163520,268800,201600,1548720,,1710000
Zanik Medical Centre,,,,86160,,126480,,290000
Zazi Hospitals,,,,285600,50400,611520,,303280
Zeva Medical Centre,"415,440",17920,870160,938400,360640,1484960,,1720000
ZIGIRA (COMMUNITY) DISPENSARY,,,1575,,,,,
ZIMMERMAN-PICKEN DISPENSARY,,,1800,,,,,
Zion Ahadi Mediclinic,40320,,157840,250880,76160,558640,,402720
Zion Medical Centre Bungoma,,,1608450,1953751,590240,932400,342880,471680
ZIWA SUB COUNTY HOSPITAL,,,,,1663627,2279940,38020,354480
Zombe Sub County Hospital,,,85000,,20000,10000,50000,151530
Zonal Annex Nursing Home,,,486675,530880,624960,1128800,,366080
